Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,18:14:06.650,Ground 1 Bot,Track Master 100,18.873001s,1888,1057,0.559852,1.056993,1.888032,0.559839,0,0
2,18:14:27.051,Ground 2 Bot,Track Master 100,20.395000s,1879,966,0.514103,0.965991,1.879032,0.514090,0,0
3,18:14:47.453,Ground 3 Bot,Track Master 100,20.398001s,1867,981,0.525442,0.980991,1.867031,0.525428,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale,Avg Target Scale,Avg Time Dilation
Track Master 100,5654,3004,3.003965,5.653773,

Kills:,3
Deaths:,0
Fight Time:,59.666
Time Remaining:,0.0
Avg TTK:,19.997915
Damage Done:,3.003965
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,3004
Miss Count:,2650
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,3004.0
Scenario:,VT Ground Intermediate S5
Hash:,489b27e681807e0212eef50241bb0769
Game Version:,3.7.10.2025-07-31-16-09-12-1e030a50ff30
Challenge Start:,18:13:47.650
Pause Count:,0
Pause Duration:,0
Avg Target Scale:,1.0
Avg Time Dilation:,1.0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,CSGO
Sens Increment:,0.471429
Horiz Sens:,1.5
Vert Sens:,1.5
DPI:,800
FOV:,90.0
FOVScale:,Counter-Strike
Hide Gun:,false
Crosshair:,ch.png
Crosshair Scale:,1.0
Crosshair Color:,000100FF
Resolution:,1920x1080
Avg FPS:,305.798523
Resolution Scale:,100.0
