Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,18:26:39.396,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
2,18:26:39.928,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
3,18:26:40.379,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
4,18:26:40.720,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
5,18:26:41.159,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
6,18:26:41.608,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
7,18:26:42.107,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
8,18:26:42.455,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
9,18:26:42.819,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
10,18:26:43.248,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
11,18:26:44.103,Target,BB Gun,0.478000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
12,18:26:44.531,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
13,18:26:45.034,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
14,18:26:45.335,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
15,18:26:45.736,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
16,18:26:46.082,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
17,18:26:46.422,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
18,18:26:46.751,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
19,18:26:47.105,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
20,18:26:47.486,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
21,18:26:47.956,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
22,18:26:48.341,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
23,18:26:48.749,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
24,18:26:49.110,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
25,18:26:49.991,Target,BB Gun,0.460000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
26,18:26:50.475,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
27,18:26:50.876,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
28,18:26:51.199,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
29,18:26:51.690,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
30,18:26:52.114,Target,BB Gun,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
31,18:26:52.544,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
32,18:26:52.905,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
33,18:26:53.379,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
