Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,19:06:49.994,Ground 1 Bot,Track Master 100,18.932001s,1894,1103,0.582365,1.102996,1.894032,0.582353,0,0
2,19:07:10.398,Ground 2 Bot,Track Master 100,20.397001s,1909,1101,0.576742,1.100995,1.909033,0.576729,0,0
3,19:07:30.798,Ground 3 Bot,Track Master 100,20.390001s,1896,1089,0.574367,1.088995,1.896033,0.574355,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale,Avg Target Scale,Avg Time Dilation
Track Master 100,5715,3293,3.292944,5.714768,

Kills:,3
Deaths:,0
Fight Time:,59.719002
Time Remaining:,0.0
Avg TTK:,19.997816
Damage Done:,3.292944
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,3293
Miss Count:,2422
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,3293.0
Scenario:,VT Ground Intermediate S5
Hash:,489b27e681807e0212eef50241bb0769
Game Version:,3.7.10.2025-07-31-16-09-12-1e030a50ff30
Challenge Start:,19:06:30.995
Pause Count:,0
Pause Duration:,0
Avg Target Scale:,1.0
Avg Time Dilation:,1.0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,CSGO
Sens Increment:,0.471429
Horiz Sens:,1.5
Vert Sens:,1.5
DPI:,800
FOV:,90.0
FOVScale:,Counter-Strike
Hide Gun:,false
Crosshair:,ch.png
Crosshair Scale:,1.0
Crosshair Color:,000100FF
Resolution:,1920x1080
Avg FPS:,306.866821
Resolution Scale:,100.0
