Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,18:03:43.970,Ground 1 Bot,Track Master 100,18.896002s,1890,964,0.510053,0.963991,1.890032,0.510040,0,0
2,18:04:04.374,Ground 2 Bot,Track Master 100,20.400002s,1911,1104,0.577708,1.103996,1.911033,0.577696,0,0
3,18:04:24.777,Ground 3 Bot,Track Master 100,20.398001s,1918,862,0.449426,0.861992,1.918034,0.449415,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale,Avg Target Scale,Avg Time Dilation
Track Master 100,5729,2930,2.92997,5.728767,

Kills:,3
Deaths:,0
Fight Time:,59.694
Time Remaining:,0.0
Avg TTK:,19.997721
Damage Done:,2.92997
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,2930
Miss Count:,2799
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,2930.0
Scenario:,VT Ground Intermediate S5
Hash:,489b27e681807e0212eef50241bb0769
Game Version:,3.7.10.2025-07-31-16-09-12-1e030a50ff30
Challenge Start:,18:03:24.973
Pause Count:,0
Pause Duration:,0
Avg Target Scale:,1.0
Avg Time Dilation:,1.0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,CSGO
Sens Increment:,0.471429
Horiz Sens:,1.5
Vert Sens:,1.5
DPI:,800
FOV:,90.0
FOVScale:,Counter-Strike
Hide Gun:,false
Crosshair:,ch.png
Crosshair Scale:,1.0
Crosshair Color:,000100FF
Resolution:,1920x1080
Avg FPS:,307.285034
Resolution Scale:,100.0
