Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,18:02:24.969,Ground 1 Bot,Track Master 100,18.964001s,1897,1012,0.533474,1.011991,1.897033,0.533460,0,0
2,18:02:45.371,Ground 2 Bot,Track Master 100,20.398001s,1925,1199,0.622857,1.199000,1.925034,0.622846,0,0
3,18:03:05.774,Ground 3 Bot,Track Master 100,20.397001s,1914,1093,0.571055,1.092995,1.914033,0.571043,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale,Avg Target Scale,Avg Time Dilation
Track Master 100,5756,3304,3.303943,5.755765,

Kills:,3
Deaths:,0
Fight Time:,59.758999
Time Remaining:,0.0
Avg TTK:,19.997873
Damage Done:,3.303943
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,3304
Miss Count:,2452
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,3304.0
Scenario:,VT Ground Intermediate S5
Hash:,489b27e681807e0212eef50241bb0769
Game Version:,3.7.10.2025-07-31-16-09-12-1e030a50ff30
Challenge Start:,18:02:05.970
Pause Count:,0
Pause Duration:,0
Avg Target Scale:,1.0
Avg Time Dilation:,1.0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,CSGO
Sens Increment:,0.471429
Horiz Sens:,1.5
Vert Sens:,1.5
DPI:,800
FOV:,90.0
FOVScale:,Counter-Strike
Hide Gun:,false
Crosshair:,ch.png
Crosshair Scale:,1.0
Crosshair Color:,000100FF
Resolution:,1920x1080
Avg FPS:,306.282562
Resolution Scale:,100.0
