Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,18:06:14.852,Ground 1 Bot,Track Master 100,18.992001s,1901,1032,0.542872,1.031992,1.901033,0.542859,0,0
2,18:06:35.255,Ground 2 Bot,Track Master 100,20.390001s,1909,1096,0.574123,1.095995,1.909033,0.574110,0,0
3,18:06:55.657,Ground 3 Bot,Track Master 100,20.392000s,1905,1011,0.530709,1.010991,1.905033,0.530695,0,0

Weapon,Shots,Hits,Damage Done,Damage Possible,,Sens Scale,Horiz Sens,Vert Sens,FOV,Hide Gun,Crosshair,Crosshair Scale,Crosshair Color,ADS Sens,ADS Zoom Scale,Avg Target Scale,Avg Time Dilation
Track Master 100,5735,3139,3.138955,5.734767,

Kills:,3
Deaths:,0
Fight Time:,59.773998
Time Remaining:,0.0
Avg TTK:,19.997902
Damage Done:,3.138955
Total Overshots:,0
Damage Taken:,0.0
Hit Count:,3139
Miss Count:,2596
Midairs:,0
Midaired:,0
Directs:,0
Directed:,0
Reloads:,0
Distance Traveled:,0.0
MBS Points:,0.0
Score:,3139.0
Scenario:,VT Ground Intermediate S5
Hash:,489b27e681807e0212eef50241bb0769
Game Version:,3.7.10.2025-07-31-16-09-12-1e030a50ff30
Challenge Start:,18:05:55.856
Pause Count:,0
Pause Duration:,0
Avg Target Scale:,1.0
Avg Time Dilation:,1.0

Input Lag:,0
Max FPS (config):,999.0
Sens Scale:,CSGO
Sens Increment:,0.471429
Horiz Sens:,1.5
Vert Sens:,1.5
DPI:,800
FOV:,90.0
FOVScale:,Counter-Strike
Hide Gun:,false
Crosshair:,ch.png
Crosshair Scale:,1.0
Crosshair Color:,000100FF
Resolution:,1920x1080
Avg FPS:,306.448822
Resolution Scale:,100.0
