Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,18:30:20.300,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
2,18:30:20.728,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
3,18:30:21.265,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
4,18:30:21.693,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
5,18:30:22.103,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
6,18:30:22.501,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
7,18:30:23.030,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
8,18:30:23.543,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
9,18:30:23.866,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
10,18:30:24.342,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
11,18:30:24.632,Target,BB Gun,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
12,18:30:25.008,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
13,18:30:25.462,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
14,18:30:25.968,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
15,18:30:26.309,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
16,18:30:26.994,Target,BB Gun,0.378000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
17,18:30:27.341,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
18,18:30:27.744,Target,BB Gun,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
19,18:30:28.135,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
20,18:30:28.602,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
21,18:30:29.031,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
22,18:30:29.432,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
23,18:30:29.744,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
24,18:30:30.127,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
