Kill #,Timestamp,Bot,Weapon,TTK,Shots,Hits,Accuracy,Damage Done,Damage Possible,Efficiency,Cheated,OverShots
1,18:29:02.195,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
2,18:29:02.706,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
3,18:29:03.149,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
4,18:29:03.617,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
5,18:29:04.096,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
6,18:29:04.619,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
7,18:29:05.068,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
8,18:29:05.502,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
9,18:29:06.229,Target,BB Gun,0.391000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
10,18:29:06.676,Target,BB Gun,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
11,18:29:07.177,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
12,18:29:07.656,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
13,18:29:08.143,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
14,18:29:08.475,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
15,18:29:08.908,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
16,18:29:09.292,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
17,18:29:09.802,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
18,18:29:10.226,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
19,18:29:10.706,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
20,18:29:11.211,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
21,18:29:11.613,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
22,18:29:12.041,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
23,18:29:12.385,Target,BB Gun,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
24,18:29:12.825,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
25,18:29:13.291,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
26,18:29:13.641,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
27,18:29:13.994,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
28,18:29:14.333,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
29,18:29:14.739,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
30,18:29:15.118,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
31,18:29:15.521,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
32,18:29:15.878,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
33,18:29:16.325,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
34,18:29:16.648,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
35,18:29:17.039,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
36,18:29:17.424,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
37,18:29:17.928,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
38,18:29:18.365,Target,BB Gun,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
39,18:29:18.797,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
40,18:29:19.172,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
41,18:29:19.536,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
42,18:29:19.907,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
43,18:29:20.219,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
44,18:29:20.582,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
45,18:29:20.948,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
46,18:29:21.341,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
47,18:29:21.695,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
48,18:29:22.013,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
49,18:29:22.321,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
50,18:29:22.677,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
51,18:29:23.098,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
52,18:29:23.463,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
53,18:29:23.796,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
54,18:29:24.252,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
55,18:29:24.749,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
56,18:29:25.076,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
57,18:29:25.385,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
58,18:29:25.835,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
59,18:29:26.227,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
60,18:29:26.724,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
61,18:29:27.163,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
62,18:29:27.581,Target,BB Gun,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
63,18:29:27.940,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
64,18:29:28.358,Target,BB Gun,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
65,18:29:28.712,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
66,18:29:29.127,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
67,18:29:29.518,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
68,18:29:29.938,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
69,18:29:30.233,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
70,18:29:30.559,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
71,18:29:30.914,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
72,18:29:31.334,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
73,18:29:31.794,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
74,18:29:32.220,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
75,18:29:33.070,Target,BB Gun,0.523000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
76,18:29:33.468,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
77,18:29:33.884,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
78,18:29:34.243,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
79,18:29:34.628,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
80,18:29:35.014,Target,BB Gun,0.001000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
81,18:29:35.315,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
82,18:29:36.150,Target,BB Gun,0.458000s,2,1,0.500000,1.000000,2.000000,0.500000,0,0
83,18:29:36.523,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
84,18:29:36.989,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
85,18:29:37.442,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
86,18:29:37.863,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
87,18:29:38.334,Target,BB Gun,0.000000s,1,1,1.000000,1.000000,1.000000,1.000000,0,0
